,club,squad,avgAge,foreigners,avg_market_value,total_market_value,year,tournament,period
15,Club Necaxa,38.0,25.1,15,807k,30.65m,2020,Apertura,2020/2021
16,FC Juárez,42.0,26.6,14,698k,29.30m,2020,Apertura,2020/2021
17,Querétaro FC,43.0,26.6,18,484k,20.80m,2020,Apertura,2020/2021
0,CF Monterrey,39.0,25.2,12,2.34m,91.10m,2020,Clausura,2020/2021
1,CF América,42.0,25.7,15,2.03m,85.30m,2020,Clausura,2020/2021
2,Tigres UANL,38.0,25.9,13,2.10m,79.70m,2020,Clausura,2020/2021
3,CD Cruz Azul,43.0,25.7,15,1.76m,75.50m,2020,Clausura,2020/2021
4,Santos Laguna,42.0,24.5,13,1.79m,75.05m,2020,Clausura,2020/2021
5,Deportivo Guadalajara,39.0,25.5,0,1.64m,64.10m,2020,Clausura,2020/2021
6,Club León FC,47.0,25.5,15,1.35m,63.30m,2020,Clausura,2020/2021
7,Club Tijuana,46.0,25.0,21,1.19m,54.90m,2020,Clausura,2020/2021
8,UNAM Pumas,49.0,24.3,14,1.06m,52.10m,2020,Clausura,2020/2021
9,Atlas Guadalajara,41.0,25.2,12,1.17m,48.10m,2020,Clausura,2020/2021
10,CF Pachuca,45.0,25.0,15,1.02m,45.80m,2020,Clausura,2020/2021
11,Atlético de San Luis,45.0,25.8,19,896k,40.30m,2020,Clausura,2020/2021
12,Deportivo Toluca,38.0,26.5,13,950k,36.10m,2020,Clausura,2020/2021
13,Mazatlán FC,42.0,26.6,13,810k,34.00m,2020,Clausura,2020/2021
14,Puebla FC,43.0,26.3,17,765k,32.88m,2020,Clausura,2020/2021
15,Club Necaxa,38.0,25.1,15,807k,30.65m,2020,Clausura,2020/2021
16,FC Juárez,42.0,26.6,14,698k,29.30m,2020,Clausura,2020/2021
17,Querétaro FC,43.0,26.6,18,484k,20.80m,2020,Clausura,2020/2021
0,CF América,46.0,24.3,19,1.86m,85.50m,2019,Apertura,2019/2020
1,CF Monterrey,41.0,25.1,14,2.05m,83.90m,2019,Apertura,2019/2020
2,Tigres UANL,37.0,25.5,13,1.85m,68.53m,2019,Apertura,2019/2020
3,CD Cruz Azul,38.0,26.5,15,1.76m,66.70m,2019,Apertura,2019/2020
4,Deportivo Guadalajara,42.0,24.8,1,1.55m,65.13m,2019,Apertura,2019/2020
5,Club Tijuana,52.0,25.5,24,1.22m,63.65m,2019,Apertura,2019/2020
6,Santos Laguna,37.0,24.1,9,1.52m,56.25m,2019,Apertura,2019/2020
7,Club León FC,38.0,25.5,14,1.31m,49.60m,2019,Apertura,2019/2020
8,CF Pachuca,40.0,25.7,17,1.23m,49.05m,2019,Apertura,2019/2020
9,Querétaro FC,42.0,25.4,16,1.10m,46.05m,2019,Apertura,2019/2020
